guid/_isPermaLink	guid/__text	link	author/name/__text	category/0	category/1	category/2	category/3	category/4	title	description	pubDate	updated/__text	location/_xmlns	location/__text	category/5
false	350434	https://stackoverflow.com/jobs/350434/full-stack-developer-ezra?a=1TwwVvDG6t7a&so_medium=Talent&so_source=TalentApi	Ezra	javascript	c#	asp.net	html	amazon-web-services	Full Stack Developer at Ezra (Toronto, ON, Canada)	<p><strong>Our mission</strong></p><br /><p>Ezra&rsquo;s mission is to enable early cancer detection for everyone by using Artificial Intelligence and the most advanced medical imaging technology available. We believe in empowering people to make their own health decisions, so we are offering Ezra as a direct-to-consumer health membership. Our members visit a partner imaging centre to get a full-body MRI scan, and receive a cancer screening report from an Ezra Medical Provider within 7 days. Our reports are generated by radiologists to quickly and accurately screen for potential abnormalities anywhere in the body. We're also building AI technology designed to assist radiologists in their analysis of MRI images - as well as increase their productivity (AI technology is under FDA review).</p><br /><p><strong>Your mission</strong></p><br /><p>As a Full Stack Developer at Ezra, you will build the next generation of cloud-based AI services for early cancer detection. Specifically, you'll craft &amp; continuously improve the portal that both our members &amp; our team use to view the results of scans &amp; book touch-points. You'll make the end-to-end experience of cancer screening more accessible by placing information related to our members' health right at their fingertips. You'll also empower our doctors &amp; imaging partners to deliver a seamless member experience through the tools you build.</p><br /><p><strong>As a full stack developer, you will:&nbsp;</strong></p><br /><ul><br /><li>Develop web-based products used by our patients, doctors and imaging partners</li><br /><li>Implement non-functional requirements for responsiveness, scalability, &amp; cybersecurity</li><br /><li>Document your code and participate in peer-to-peer code reviews</li><br /><li>Design and implement software tests for other members of the team</li><br /><li>Learn about medical imaging, radiology, cancer and artificial intelligence</li><br /><li>Contribute solutions to challenging engineering &amp; product problems</li><br /></ul><br /><p><strong>Key requirements:&nbsp;</strong></p><br /><ul><br /><li>You're always elevating your coding, architecture, code review, &amp; testing skills</li><br /><li>3+ experience working with JavaScript, C#, HTML5, CSS3, ASP.NET, AWS &amp; Azure</li><br /><li>Experience with JavaScript frameworks such as React.js, Angular.js, &amp; Vue</li><br /><li>Strong grasp of relational &amp; non-relational databases, &amp; data storage services</li><br /><li>Familiar with software architecture (n-tier, microservices,etc) and design patterns</li><br /><li>Familiar with best practices for design documentation, coding styles, and systems deployment (staging, UAT, and production)</li><br /></ul><br /><p><strong>Nice to haves:&nbsp;</strong></p><br /><ul><br /><li>Core, Azure DevOps, and Azure Portal is highly desirable</li><br /><li>Experience with medical products or in a regulated environment preferred</li><br /></ul><br /><p><strong>What&rsquo;s in it for you?</strong></p><br /><p>On our team, you have the opportunity to be an early employee at Ezra and be part of an all-star team focused on detecting cancer early for everyone in the world. You&rsquo;re also going to have access to benefits such as: Comprehensive health, dental and vision plans for your and your family; wellness and commuter benefits; competitive vacation policy; a culture that emphasizes learning and work-life harmony; healthy food and snacks; off-sites and happy hours.</p><br /><p><strong>Our commitment to diversity and inclusion</strong></p><br /><p>We&rsquo;re aiming to build a diverse team and inclusive company culture. We are an equal opportunity employer (EOE) and do not discriminate based on race, colour, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.</p>	Sat, 21 Mar 2020 17:02:44 Z	2020-03-21T17:02:44Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	353160	https://stackoverflow.com/jobs/353160/full-stack-java-developer-rethink-solutions?a=1UrdaKh2RLCU&so_medium=Talent&so_source=TalentApi	Rethink Solutions	java	javascript	hibernate	wicket	postgresql	Full Stack Java Developer at Rethink Solutions (Toronto, ON, Canada)	<ul><br /><li>Design, develop, test, improve and maintain a high performance Software as a Service (SaaS) property tax management application.</li><br /><li>Engage and collaborate with management, team members and quality assurance as appropriate to ensure high quality deliverables</li><br /><li>Adhere to and promote both industry and Rethink Solutions development standards and best practices</li><br /><li>Maintain high level of functional and technical product knowledge</li><br /><li>Initiate and/or actively participate in continuous improvement of RSI processes</li><br /></ul><br /><p><strong>Skills &amp; Requirements</strong></p><br /><p>Qualifications:</p><br /><ul><br /><li>At Least 3+ years of experience with JAVA/JEE</li><br /><li>Solid understanding of design principles and design patterns</li><br /><li>Knowledge of Java web technologies such as Servlet, JAX-RS, etc.</li><br /><li>Solid working knowledge of web technologies such as HTML, Javascript and CSS</li><br /><li>Firm grasp of javascript and javascript ecosystem</li><br /><li>Experience with Java based front-end frameworks</li><br /><li>Working experience with Hibernate (or equivalent) ORM</li><br /><li>Working experience with Java EE 6+ and knowledge of Java EE components such as EJB, JPA, etc.</li><br /><li>Proven ability to meet deadlines, prioritize tasks and work effectively with minimal supervision in a team environment</li><br /><li>Strong analytical and problem solving skills</li><br /><li>Strong interpersonal and communication skills (verbal and written with both technical and non-technical staff)</li><br /></ul><br /><p>Beneficial Skills:</p><br /><ul><br /><li>Experience creating and maintaining Java APIs (Restful, SOAP, etc.)</li><br /><li>Experience with Web Authentication methods (OAUTH, JWT, Auth0, etc.)</li><br /><li>Experience with modern web frameworks and javascript libraries (react, angular, node, etc.)</li><br /><li>Experience with BIRT or equivalent</li><br /><li>Experience with Apache Wicket or other component based Java front-end frameworks</li><br /><li>Well versed in SQL with RDBMS experience</li><br /><li>Working knowledge of development tools and environments such as Maven, Git, IntelliJ IDEA, etc.</li><br /><li>Active in developer communities with blogs / meet ups</li><br /><li>Actively follows current best practices as well as trends in programming</li><br /><li>An active Github account</li><br /></ul>	Sat, 21 Mar 2020 14:44:27 Z	2020-03-21T14:44:27Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	374831	https://stackoverflow.com/jobs/374831/senior-backend-engineer-homer?a=21HOwwseLLTa&so_medium=Talent&so_source=TalentApi	Homer	node.js	typescript	graphql	reactjs	postgresql	Senior Backend Engineer at Homer (Toronto, ON, Canada)	<p><strong>HOMER</strong>&nbsp;has a newly created opportunity for a&nbsp;<strong>Senior Backend Engineer</strong>&nbsp;to join our growing team! This role will be based our Toronto office.&nbsp;&nbsp;</p><br /><p>HOMER, a BEGiN brand, is the proven early learning program that provides the best educational start possible. We offer personalized, fun, and proven learning products for kids ages 2-8 to help build confidence, mastery, and a love of learning. We are deeply committed to our members and to their children, and we are building a creative and strategic team to develop a portfolio of early learning products that support learning everywhere.</p><br /><p>Reporting into our Director of Technology, the Senior Backend Engineer will be a key member of our engineering team, building the back end services and infrastructure team essential to our growing business.&nbsp;Over time, we expect you to grow by learning and practicing technical ownership, promoting best practices in coding and architecture, collaborating with and mentoring other members of the engineering team through code reviews and paired programming, and becoming a vocal advocate of our engineering forward culture.</p><br /><p><strong>Our backend technology stack includes the following:</strong></p><br /><ul><br /><li>Node.js and TypeScript as the main programming language</li><br /><li>Python for handling long running internal processes</li><br /><li>Applications are hosted in AWS</li><br /><li>We use GIT for source control</li><br /></ul><br /><p><strong>You will:</strong></p><br /><ul><br /><li>Develop and maintain key internal and public-facing back end systems such as user management microservices</li><br /><li>Design redundant and scalable architectures for high performance web and mobile delivery across multiple platforms</li><br /><li>Engineer simple and elegant solutions to challenging problems, working towards an overall team goal of 99.99% uptime</li><br /><li>Design and engineer secure RESTful APIs</li><br /><li>Updating legacy code to implement cutting edge tech</li><br /></ul><br /><p><strong>Must Haves:</strong></p><br /><ul><br /><li>Proficiency in Node.js and TypeScript</li><br /><li>Experience with GraphQL</li><br /><li>Experience with Amazon Web Services</li><br /><li>Experience in relational and non-relational databases</li><br /><li>Experience in unit testing and end-to-end testing</li><br /><li>Experience with MVC frameworks</li><br /><li>Good knowledge of continuous delivery</li><br /><li>Good knowledge of microservices</li><br /><li>Good knowledge of software fundamentals design/architectural patterns.&nbsp;</li><br /></ul><br /><p><strong>Nice-to-Haves:</strong></p><br /><ul><br /><li>Good knowledge of HTML/CSS&nbsp;</li><br /><li>Good knowledge of authentication, encryption and security techniques</li><br /><li>Experience building CMS and reporting systems</li><br /><li>Experience developing apps with Ed Tech industry standards. (e.g., PCI and COPPA compliance)&nbsp;&nbsp;</li><br /><li>Experience in a startup environment</li><br /></ul><br /><p><strong>We like people who:</strong></p><br /><ul><br /><li>Are enthusiastic about learning and applying new cutting edge technologies.</li><br /><li>Take ownership of your own work.</li><br /><li>Have excellent interpersonal and communication skills and are able to convey a very technical situation to less technical colleagues.&nbsp;</li><br /><li>Are pragmatic, able to determine when and why it is the right call to take a step back and refactor old code versus putting together a quick fix.&nbsp;</li><br /></ul><br /><p><strong>What you&rsquo;ll get:</strong></p><br /><ul><br /><li>HOMER offers competitive compensation including equity and full benefits.</li><br /><li>Smart, passionate, and engaged co-workers.</li><br /><li>Excellent top-tier Medical/Dental/Vision benefits</li><br /><li>The chance to have a big impact, quickly</li><br /><li>The rare opportunity to make a dent in the universe. We&rsquo;re bringing a love of reading and learning to children globally!</li><br /></ul><br /><p>HOMER is an equal opportunity employer and enthusiastically encourages people from a wide variety of backgrounds and experiences to apply. HOMER does not discriminate on the basis of race, color, religion, sex (including pregnancy), gender, national origin, citizenship, age, mental or physical disability, veteran status, marital status, sexual orientation or any other basis prohibited by law.</p>	Fri, 20 Mar 2020 15:43:18 Z	2020-03-20T15:43:18Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	345222	https://stackoverflow.com/jobs/345222/full-stack-software-developer-agile-custom-deutsche-fintech-solutions?a=1RM9PIk8gPWE&so_medium=Talent&so_source=TalentApi	Deutsche Fintech Solutions	java	javascript	angular	mongodb	spring	Full Stack Software Developer (Agile Custom Software and Consulting) at Deutsche Fintech Solutions (Toronto, ON, Canada)	"<p>Join our team to work on everything from front-end to server-side code and database architecture. We have an exceptional 25+ year delivery track record, deep technical expertise and disciplined delivery and technical engineering practices. At Intelliware, you&rsquo;ll build a wide variety of enterprise/consumer facing applications within a team-based Agile environment. The way we build software is strongly influenced by the values of Extreme Programming: feedback, respect, courage, communication and simplicity. We have collaborative project rooms where you&rsquo;ll work closely with a cross functional team including clients. You&rsquo;ll find continuous opportunities to learn, share knowledge and teach within your team and within the developer community at Intelliware via monthly educational sessions, study groups and hands-on R&amp;D initiatives.&nbsp; Intelliware&rsquo;s niche is delivering custom software applications for complex business and technical challenges.&nbsp;Core development is done in Java, Spring and JavaScript, although the nature of our work allows project teams the opportunity to work with a wide variety of technologies. Recent projects we&rsquo;ve delivered include technologies such as Angular, React, Node.js, MongoDB, Kafka, Hadoop, Kotlin and Cloud Foundry.</p><br /><p><strong>While working within a team in an Agile environment, you will be:</strong></p><br /><ul><br /><li>Designing high quality applications that are highly scalable and extensible</li><br /><li>Estimating, tasking and prototyping</li><br /><li>Contributing clear and maintainable code to a shared codebase</li><br /><li>Collaborating with cross-functional team members on features, design and implementation</li><br /><li>Investigating, learning and applying new technologies and processes</li><br /><li>Clarifying requirements with team and client representatives</li><br /></ul><br /><p><strong>&rsquo;Must Have&rsquo; Skills/Experience:</strong></p><br /><ul><br /><li>Proven experience designing and developing complex applications that are highly scalable and extensible</li><br /><li>Fluent in Java and/or JavaScript</li><br /><li>Attention to well-crafted software</li><br /><li>Bachelor&rsquo;s Degree in one of: Engineering, Computer Science, Physics or Mathematics (or equivalent education/experience)</li><br /></ul><br /><p><strong>&rsquo;Nice to Have&rsquo; Skills/Experience:</strong></p><br /><ul><br /><li>Exposure to and interest in Agile approaches to software development e.g. automated testing, continuous integration, project rooms, pair programming, etc.</li><br /><li>Fluent and current in HTML5, CSS and JavaScript frameworks</li><br /><li>Relational and/or NoSQL databases, SQL queries and object relational mapping tools</li><br /><li>Distributed computing and platform as a service</li><br /><li>UNIX, Linux and W3C technologies including HTTP and XML</li><br /><li>Automated build, test and deployment tools</li><br /></ul><br /><p>For more info on Intelliware, check out our&nbsp;<a href=""http://www.intelliware.com/careers/"" rel=""nofollow"">Careers Page</a>&nbsp;and&nbsp;<a href=""https://www.instagram.com/intelliware/"" rel=""nofollow"">Instagram</a>. Intelliware is committed to diversity in the workplace. We are an inclusive employer and welcome and encourage applications from all qualified candidates. Applicants&rsquo; needs will be accommodated during our recruitment and selection process so please advise us if you require accommodation.</p>"	Fri, 28 Feb 2020 14:36:36 Z	2020-02-28T14:36:36Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	350445	https://stackoverflow.com/jobs/350445/engineering-manager-ezra?a=1TwL6IpBdlwA&so_medium=Talent&so_source=TalentApi	Ezra	javascript	c#	asp.net	html	css	Engineering Manager at Ezra (Toronto, ON, Canada)	<p><strong>Our mission</strong></p><br /><p>Ezra&rsquo;s mission is to enable early cancer detection for everyone by using Artificial Intelligence and the most advanced medical imaging technology available. We believe in empowering people to make their own health decisions, so we are offering Ezra as a direct-to-consumer health membership. Our members visit a partner imaging centre to get a full-body MRI scan, and receive a cancer screening report from an Ezra Medical Provider within 7 days. Our reports are generated by radiologists to quickly and accurately screen for potential abnormalities anywhere in the body. We're also building AI technology designed to assist radiologists in their analysis of MRI images - as well as increase their productivity (AI technology is under FDA review).</p><br /><p><strong>Your mission</strong></p><br /><p>As a Software Engineering Manager at Ezra you will lead a team of creative people to build and maintain a suite of web-based healthcare platforms for both clinicians and Ezra Members.</p><br /><p><strong>As a engineering manager, you will:&nbsp;</strong></p><br /><ul><br /><li>Lead a team of engineers to build and maintain Ezra&rsquo;s healthcare platforms</li><br /><li>Plan resources and timelines for business-critical software development projects</li><br /><li>Work closely with product managers and software testers to develop detailed plans to accomplish goals and project specifications</li><br /><li>Hire, train, and mentor engineers to further develop competencies and skills</li><br /><li>Foster a team culture that encourages ownership and continuous learning</li><br /><li>Supervise software contractors and outsourcing partners</li><br /></ul><br /><p><strong>We're looking for a leader with:&nbsp;</strong></p><br /><ul><br /><li>Minimum 3+ years of hands-on technical management experience, building and leading a team of 3+ developers/engineers</li><br /><li>Experience with defining and measuring OKRs/KPIs</li><br /><li>Demonstrated experience fostering software teams' technical &amp; soft skills through hands-on coaching &amp; mentoring</li><br /><li>Excellent communication and interpersonal skills</li><br /></ul><br /><p><strong>Technical requirements:&nbsp;</strong></p><br /><ul><br /><li>8+ years working with ASP.NET, C#, JavaScript, HTML5, &amp; CSS3</li><br /><li>Experience with modern JavaScript frameworks such as React.js, Angular.js, or Vue.js</li><br /><li>Experience with relational &amp; non-relational databases &amp; data storage services</li><br /><li>Strong grasp of software architecture (n-tier, microservices,etc) and design patterns</li><br /><li>Familiar with best practices for design documentation, coding styles, and systems deployment (staging, UAT, and production)</li><br /></ul><br /><p><strong>What&rsquo;s in it for you?</strong></p><br /><p>On our team, you have the opportunity to be an early employee at Ezra and be part of an all-star team focused on detecting cancer early for everyone in the world. You&rsquo;re also going to have access to benefits such as: Comprehensive health, dental and vision plans for your and your family; wellness and commuter benefits; competitive vacation policy; a culture that emphasizes learning and work-life harmony; healthy food and snacks; off-sites and happy hours.</p><br /><p><strong>Our commitment to diversity and inclusion</strong></p><br /><p>We&rsquo;re aiming to build a diverse team and inclusive company culture. We are an equal opportunity employer (EOE) and do not discriminate based on race, colour, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.</p>	Sat, 21 Mar 2020 17:02:19 Z	2020-03-21T17:02:19Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	286162	https://stackoverflow.com/jobs/286162/software-engineer-abacusnext?a=1xY88GYYjW80&so_medium=Talent&so_source=TalentApi	AbacusNext	.net	c#	asp.net-mvc	javascript	html	Software Engineer at AbacusNext (Toronto, ON, Canada)	<p><span>AbacusNext has a great opportunity for a</span><strong> Software Engineer</strong> <span>that is excited about delivering features and value to thousands of users. Based in downtown Toronto, Canada, the Amicus Attorney team of developers, QA analysts and product owners strive to create the best user software experience in the legal market. And you could be part of that team.</span></p><br /><p><span><span><span><strong>Requirements:</strong></span></span></span></p><br /><p><span><span><span>This position involves high-level .NET programming using the C# programming language, as well as web development using ASP.NET, HTML and JavaScript. Candidate should have an in-depth knowledge of .NET Framework 4.0+, ASP.NET development patterns (including MVC and Razor), and experience using common JavaScript frameworks (such as JQuery &amp; AngularJS). Experience with Microsoft Azure SDK is an asset.</span></span></span></p><br /><br /><p><span><span><span>Must be able to write code that is well designed, easily maintainable, sufficiently documented, and follows the patterns and practices set forth in the project&rsquo;s description. Candidates must continually strive toward improvement and mastery of their field. Following best practices is required.</span></span></span></p><br /><br /><p><span><span><span>Candidate must be able to work in a team environment, get along well with others, and possess excellent verbal and written communication skills. Experience in the legal or accounting space is a plus.</span></span></span></p><br /><br /><p><span><span><span><strong>Benefits &amp; Perks:</strong></span></span></span></p><br /><ul><br /><li><span><span><span>Experience great professional and personal growth, we also offer</span></span></span></li><br /><li><span><span><span>Convenient downtown Toronto waterfront location near Union Station</span></span></span></li><br /><li><span><span><span>Extended medical benefits (including dental care, vision care &amp; out-of-province travel insurance)</span></span></span></li><br /><li><span><span><span>Weekly catered lunch</span></span></span></li><br /><li><span><span><span>Weekly office fruit basket</span></span></span></li><br /><li><span><span><span>Corporate giving program with donation matching</span></span></span></li><br /><li><span><span><span>Flexible paid time off</span></span></span></li><br /><li><span><span><span>Corporate sports team&nbsp;</span></span></span><span><span>sponsorship's</span></span></li><br /><li><span><span><span>On-site games room with pool table, foosball, basketball &amp; more.</span></span></span></li><br /><li><span><span><span>Referral program for new hires</span></span></span></li><br /><li><span><span><span>Regular social committee events (including annual summer &amp; Christmas parties)</span></span></span></li><br /></ul><br /><p><span><span><span><strong>Equal Employment Opportunity:&nbsp;</strong>AbacusNext is an Equal Opportunity, Affirmative Action Employer.</span></span></span></p><br /><p>&nbsp;<span><span><span>Abacus Data Systems Canada, Inc. welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.</span></span></span></p>	Thu, 27 Feb 2020 18:08:57 Z	2020-02-27T18:08:57Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	354986	https://stackoverflow.com/jobs/354986/software-developer-frontend-developer-hays?a=1V3baWzXhrGw&so_medium=Talent&so_source=TalentApi	Hays	angular	java	html	css		Software Developer - Frontend Developer at Hays (Toronto, ON, Canada)	<p>ANGULAR DEVELOPER URGENTLY NEEDED 6 Mont Contact (Will Extend) Leader in the insurance Industry Toronto<br> <br> <strong>Your new company</strong><br> <br> Our client Intact is a large insurance organisation headquartered in Toronto, with offices all over Canada.<br> <br> <strong>Your new role</strong><br> <br> In your role as the Angular developer you will Improve and develop software systems to meet users' needs by finding solutions, solving complex problems, code development, testing, debugging and documenting systems. You will engage in all project phases to ensure completion in collaboration with users and communicating status reports. The Angular Developer will make recommendations and participate in improving development and system maintenance processes and ensure systems are optimal and meet quality standards.<br> <br> <strong>What you'll need to succeed</strong></p><br /><ul><br /><li>7+ years of experience developing n-tier web applications using Java and Java-based application frameworks.</li><br /><li>Minimum of 4 years of experience within Angular development</li><br /><li>Strong knowledge of UX principals and front-end development experience with Angular, HTML, CSS, and AJAX</li><br /><li>Strong knowledge of server-side Java technologies such as JSP, JSF, Servlets, EJB, JDBC, JMS, WebSphere, Tomcat, Docker, Openshift/Kubernetes</li><br /><li>Extensive knowledge in CIDC (Concepts in Continuous integration)</li><br /><li>Experience with Oracle 11+, PLSQL, and database performance tuning is an asset</li><br /><li>Experience with open source frameworks and tools such as Hibernate, Ivy, Ant, Maven</li><br /><li>Excellent communication both written &amp; Verbal</li><br /></ul><br /><p><br> <strong>What you'll get in return</strong><br> <br> The client is offering a long term engagement and a very competitive hourly rate for the contract<br> <br> <strong>What you need to do now</strong><br> <br> If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.<br> If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. <br><br>Hays Specialist Recruitment is working in partnership with Intact to manage the recruitment of this position <strong>Skills &amp; Requirements</strong> * 7+ years of experience developing n-tier web applications using Java and Java-based application frameworks. * Minimum of 4 years of experience within Angular development</p>	Tue, 24 Mar 2020 13:44:03 Z	2020-03-24T13:44:03Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	368113	https://stackoverflow.com/jobs/368113/senior-web-ui-developer-hays?a=1Zs7XqM2758k&so_medium=Talent&so_source=TalentApi	Hays	html	css	javascript			Senior Web UI Developer at Hays (Toronto, ON, Canada)	<br><br>Toronto West Side Liberty Village Permanent Full Time UI Developer Job HTML CSS JavaScript 90,000 /Year<br> <br> <strong>Your new company</strong><br> This is a fast growing cosmetics company across globe with network in Asia, Europe, North America and Australia. With the head office in West side of Toronto city, we're hiring 6 new developers to join the team. Aside from all required technologies, we are looking for someone with excellent English language and presentation skills.<br> <br> <br> <strong>Your new role</strong><br> In the team, there are 6 other developers who's stronger in back-end development, however we need you to be really focusing on Front-end technologies using the original HTML, CSS, JavaScript , and some experience on back-end using .Net technology. You will be able to write code without any frameworks -- this is very key as you are working on the branding side of the business, which involves a lot of creative and cool software development and presentation to the consumers, such as the eCommerce website, marketing creative pages and video campaigns.<br> <strong><br> What you'll need to succeed</strong><br> You need to have minimum 5 years after gratification working experience, a passion for programming and create cool stuff with codes, and excellent English presentation skills as you will be working a lot with creative people, marketing and other departments. This is a permanent job.<br> <br> <strong>What you'll get in return</strong><br> Can you bring your dog or parrot to the company? Yes, working in this company, you can bring your pet into the company in an open working environment where culture is friendly, rewarding and fun. You are not a code machine. You are the key part of the business because your voice will be heard, and you will bring positive influence in the business, and you have lots of opportunities interacting with the business, stakeholders in a fast growing company. The company has grew from 200 people to 900 people in the past 2 years and yet they are still expanding due to the strong market growth.<br> <br> <br> <strong>What you need to do now</strong><br> If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.<br> If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.	Wed, 25 Mar 2020 21:20:20 Z	2020-03-25T21:20:20Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	371598	https://stackoverflow.com/jobs/371598/senior-frontend-cloud-web-developer-sourced-group-inc?a=20CAFSJXwVW0&so_medium=Talent&so_source=TalentApi	Sourced Group Inc.	vue.js	angularjs	angular	reactjs	vuejs2	Senior Frontend Cloud Web Developer at Sourced Group Inc. (Toronto, ON, Canada)	<p><strong>Sourced Values</strong></p><br /><p>Integrity, Innovation, Service, Quality, Humility, Sustainability</p><br /><p><strong>About the role</strong></p><br /><p>The&nbsp;Product&nbsp;division of Sourced was formed to provide leading-edge software aimed at accelerating and automating cloud adoption in large and regulated enterprises. In this role, you will be working in a close&nbsp;and&nbsp;highly skilled team of developers to define, design, and develop&nbsp;innovativeweb-based SaaS&nbsp;solutionsto help&nbsp;our customers&nbsp;solve some of the biggest problems in modern IT.</p><br /><p>We are open to both full-time and contract-seeking candidates.</p><br /><p><strong>What you&rsquo;ll bring to the role</strong></p><br /><ul><br /><li>6+ years of development experience with modern frontend web frameworks such as Vue.js, Angular, and/or React</li><br /><li>A strong understanding of web and related technologies including HTML5, CSS3/SCSS/LESS, JavaScript,&nbsp;npm/Yarn, Webpack, and Babel</li><br /><li>Experience designing&nbsp;and developing&nbsp;technical&nbsp;user interfaces and&nbsp;flows</li><br /><li>Experience with UI test automation tools such as Cypress, Selenium, Jest, and/or Mocha</li><br /><li>Familiarity with modern SDLC and associated tools including Jira and git</li><br /></ul><br /><p><strong>Desirable skills</strong></p><br /><ul><br /><li>Commitment to continuous learning and adoption of the right processes, technologies, and tools</li><br /><li>Prior experience working on SaaS products is desirable</li><br /><li>Familiarity with design software such as Sketch, InVision, and/or XD, and the ability to transform UI designs into working software with close attention to detail</li><br /></ul>	Thu, 12 Mar 2020 15:29:16 Z	2020-03-12T15:29:16Z	http://stackoverflow.com/jobs/	Toronto, ON, Canada	
false	360259	https://stackoverflow.com/jobs/360259/software-developer-front-end-hays?a=1WOOUkUkUuoU&so_medium=Talent&so_source=TalentApi	Hays	reactjs	angularjs	javascript			Software Developer --Front end at Hays (Mississauga, ON, Canada)	<br><br>Perm Job Hiring Walmart Front-end Senior Staff Engineer Mississauga Based React Angular<br> <br> <strong>Your new company</strong><br> Our client Walmart Canada is expanding the technology team in Mississauga. We are now hiring three senior Front-end Developers (minimum 8 years of Front-end development experience) to join the team urgently.<br> <br> <strong>Your new role</strong><br> We are looking for a strong Senior Software Developer, who will help build a highly scalable and performing eCommerce platform to match our exponential growth. You will have an opportunity to design and develop new innovative features on the current platform and help in transitioning our platform to micro-app architecture using next-gen technologies. You will be responsible to actively participate in the design and architectural discussions for Frontend and API gateway layer. You will also work closely with the Product Owners to develop innovative customer experiences and user interfaces<br> Position Responsibilities :<ul><li>Design and develop scalable, performant and responsive FE architecture.using either React or Angular</li><li>Participate in Code Reviews, providing technical mentor-ship to other junior team members.</li><li>Implement new features by collaboratively working with Product Owners, UX designers, and other fellow Engineers.</li><li>Help in design and development of API gateway layer which can interact with many other micro-services.</li><li>Leads the design sessions for medium to large initiatives to come up with high level design.</li><li>Able to independently handle high impact critical issues.</li><li>Actively participate in agile ceremonies</li></ul><br><br><br> <br> <strong>What you'll need to succeed</strong><br> We are only looking for senior Frontend Engineers so you need to have at least 8 years of experience with a BS/MS degree in Computer Science or closely related field or equivalent practical experience. Other key qualification include:<ul><li>Strong knowledge of JavaScript, CSS3, HTML5, asynchronous request handling, and AJAX in highly scalable and available applications.</li><li>8+ years of software development experience working in NodeJS, Scala, Ruby on Rails, Python or Java.</li><li>Experience building responsive UIs which are optimised for mobile devices.</li><li>Solid understanding of building RESTful APIs.</li><li>Have a strong passion for developing elegant and well-designed frameworks.</li><li>Experience in any of the JavaScript framework like React, EmberJS or Angular 1.x/2.x is a big plus.</li><li>A history of open-source contribution is an asset.</li></ul><br><br><br> <br> <strong>What you'll get in return</strong><br> You will be working in a leading company, in one of the best technology team with strict and high standard in coding. You will be working with brilliant team members using the latest technologies. The company has multiple platforms so both React and Angular expert can perform really well. The company encourage learning in the team, and provide immerse grow opportunities within the group, i.e. you can apply for another team to learn different business. Your will enjoy competitive salary as base + bonus +3 weeks vacation +personal days, and the flexibility of working from home once a week.<br> <br> <strong>What you need to do now</strong><br> If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.<br> If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.	Fri, 06 Mar 2020 16:34:01 Z	2020-03-06T16:34:01Z	http://stackoverflow.com/jobs/	Mississauga, ON, Canada	
