Title,Season,Episode,Date
"Halo: The Fall of Reach","\N","\N","1/7/20"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Closing the Net","\N","\N","1/2/20"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Killing for Clicks","\N","\N","1/2/20"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Cat and Mouse","\N","\N","1/2/20"
"The Terminal","\N","\N","12/27/19"
"I, Tonya","\N","\N","12/26/19"
"Arthur Christmas","\N","\N","12/26/19"
"The Matrix","\N","\N","12/11/19"
"Shrek 2","\N","\N","12/10/19"
"Liar's Dice","\N","\N","12/3/19"
"Fun with Dick & Jane","\N","\N","12/3/19"
"Liar Liar","\N","\N","12/3/19"
"The Happytime Murders","\N","\N","11/25/19"
"Ghost Pain","\N","\N","11/17/19"
"Klaus","\N","\N","11/15/19"
"Kill Bill: Vol. 1","\N","\N","4/27/19"
"Gad Elmaleh: American Dream","\N","\N","4/25/19"
"Black Mirror: Bandersnatch","\N","\N","4/18/19"
"Kubo and the Two Strings","\N","\N","4/7/19"
"Charlie and the Chocolate Factory","\N","\N","2/10/19"
"John Wick","\N","\N","2/9/19"
"Inglourious Basterds","\N","\N","2/9/19"
"The Incredibles 2","\N","\N","2/8/19"
"Mowgli: Legend of the Jungle","\N","\N","1/17/19"
"Bird Box","\N","\N","1/17/19"
"Warcraft","\N","\N","12/25/18"
"Mute","\N","\N","10/26/18"
"Wheelman","\N","\N","10/26/18"
"Illang: The Wolf Brigade","\N","\N","10/26/18"
"The Ritual","\N","\N","10/20/18"
"Animal World","\N","\N","10/20/18"
"The Inexplicable Universe with Neil deGrasse Tyson: Unsolved Mysteries: History's Mysteries","\N","\N","10/20/18"
"Hold the Dark","\N","\N","10/20/18"
"Black Panther","\N","\N","10/20/18"
"War on Everyone","\N","\N","10/19/18"
"Planet Earth II: Islands","\N","\N","10/19/18"
"Stasis","\N","\N","10/18/18"
"The Rift: The Dark Side of the Moon","\N","\N","10/17/18"
"The Bad Batch","\N","\N","10/17/18"
"Extinction","\N","\N","10/16/18"
"How It Ends","\N","\N","10/14/18"
"The Rebound","\N","\N","8/24/18"
"Hot Bot","\N","\N","8/24/18"
"iBOY","\N","\N","8/24/18"
"Flavors of Youth: International Version","\N","\N","8/16/18"
"Rocco","\N","\N","8/14/18"
"Liberated: The New Sexual Revolution","\N","\N","8/12/18"
"After Porn Ends","\N","\N","8/12/18"
"Amar","\N","\N","8/12/18"
"Blue Lagoon: The Awakening","\N","\N","8/12/18"
"Suicide Squad","\N","\N","7/24/18"
"Ghostbusters","\N","\N","7/14/18"
"Kung Fu Panda 3","\N","\N","7/11/18"
"Justice League: Gods & Monsters","\N","\N","7/9/18"
"Batman v Superman: Dawn of Justice","\N","\N","7/8/18"
"Okja","\N","\N","7/8/18"
"TAU","\N","\N","7/8/18"
"Tag","\N","\N","7/5/18"
"God of War","\N","\N","7/5/18"
"Chronicles of the Ghostly Tribe","\N","\N","7/5/18"
"Oceans Rising","\N","\N","7/5/18"
"The Darkest Dawn","\N","\N","7/5/18"
"District 9","\N","\N","7/2/18"
"LEGO House - Home of the Brick","\N","\N","7/2/18"
"The Cloverfield Paradox","\N","\N","6/5/18"
"Daemonium","\N","\N","6/5/18"
"The Angry Birds Movie","\N","\N","5/12/18"
"Transformers: The Last Knight","\N","\N","3/15/18"
"Look Who's Back","\N","\N","3/2/18"
"Naked","\N","\N","3/2/18"
"Django Unchained","\N","\N","3/2/18"
"Hotel Transylvania","\N","\N","2/28/18"
"Minions","\N","\N","2/28/18"
"Teenage Mutant Ninja Turtles 2","\N","\N","2/28/18"
"The Road to El Dorado","\N","\N","2/28/18"
"Megamind","\N","\N","2/28/18"
"Big Hero 6","\N","\N","2/28/18"
"Moana","\N","\N","2/28/18"
"Full Out","\N","\N","2/28/18"
"Conan the Barbarian","\N","\N","2/21/18"
"FullMetal Alchemist","\N","\N","2/20/18"
"Jurassic World","\N","\N","2/18/18"
"Fury","\N","\N","2/16/18"
"Underdogs","\N","\N","2/5/18"
"Pete's Dragon","\N","\N","2/5/18"
"Ghost Tears","\N","\N","2/3/18"
"Ghost Whispers","\N","\N","2/3/18"
"Ghost in the Shell","\N","\N","2/2/18"
"ID-0: シーズン1: DIG 11 INNOCENT ORBIT","\N","\N","2/1/18"
"ID-0: シーズン1: DIG 10 COMPRESSED SIN","\N","\N","1/31/18"
"ID-0: シーズン1: DIG 09 SEEKING THE TRUTH","\N","\N","1/31/18"
"ID-0: シーズン1: DIG 08 CRACKING THE FLAIR","\N","\N","1/31/18"
"ID-0: シーズン1: DIG 07 OVERSTEPPING","\N","\N","1/31/18"
"ID-0: シーズン1: DIG 06 THE OBSERVER","\N","\N","1/31/18"
"ID-0: シーズン1: DIG 05 ORE WITH FREE WILL","\N","\N","1/30/18"
"ID-0: シーズン1: DIG 04 SINGULAR TACTICS","\N","\N","1/30/18"
"ID-0: シーズン1: DIG 03 MIGUEL LINE","\N","\N","1/30/18"
"ID-0: シーズン1: DIG 02 FORMLESS MINERALS","\N","\N","1/30/18"
"ID-0: シーズン1: DIG 01 MIND TRANCE","\N","\N","1/30/18"
"Sicario","\N","\N","1/25/18"
"Terminator 2: Judgment Day","\N","\N","1/25/18"
"Kung Fu Panda","\N","\N","1/25/18"
"The Human Centipede: First Sequence","\N","\N","1/14/18"
"Bright","\N","\N","12/25/17"
"Snowpiercer","\N","\N","11/30/17"
"Spectral","\N","\N","11/30/17"
"Harlock: Space Pirate","\N","\N","11/30/17"
"Star Wars: The Force Awakens (Canadian French Version)","\N","\N","11/30/17"
"Approaching the Unknown","\N","\N","11/29/17"
"Star Trek Beyond","\N","\N","11/29/17"
"Kill Command","\N","\N","11/29/17"
"The Chronicles of Riddick","\N","\N","11/28/17"
"Captain America: Civil War","\N","\N","11/28/17"
"LEGO: Marvel Super Heroes: Maximum Overload","\N","\N","11/28/17"
"Captain America: The Winter Soldier","\N","\N","11/28/17"
"Captain America: The First Avenger","\N","\N","11/26/17"
"Star Wars: Episode VII: The Force Awakens","\N","\N","11/26/17"
"Rogue One: A Star Wars Story","\N","\N","11/26/17"
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","\N","\N","11/26/17"
