Title,Season,Episode,Date
"Star Trek: Enterprise","Season 3","Impulse","2/18/20"
"Star Trek: Enterprise","Season 3","Harbinger","2/18/20"
"Star Trek: Enterprise","Season 4","Demons","2/18/20"
"Star Trek: Voyager","Season 3","Unity","2/14/20"
"Star Trek: The Next Generation","Season 5","Darmok","2/9/20"
"Star Trek: The Next Generation","Season 4","Future Imperfect","2/9/20"
"Star Trek: The Next Generation","Season 3","The Enemy","2/9/20"
"Star Trek: The Next Generation","Season 3","Booby Trap","2/9/20"
"Star Trek: Voyager","Season 5","Drone","2/9/20"
"Star Trek: Voyager","Season 4","Scorpion: Part 2","2/9/20"
"Star Trek: Voyager","Season 3","Scorpion: Part 1","2/9/20"
"Star Trek: Voyager","Season 6","Spirit Folk","2/9/20"
"Star Trek: Voyager","Season 6","Collective","2/9/20"
"Star Trek: The Next Generation","Season 4","The Best of Both Worlds: Part 2","2/9/20"
"Star Trek: The Next Generation","Season 3","The Best of Both Worlds: Part 1","2/9/20"
"Star Trek: The Next Generation","Season 2","Q-Who?","2/8/20"
"Star Trek: The Next Generation","Season 7","The Pegasus","2/2/20"
"BoJack Horseman","Season 6","The Face of Depression","1/9/20"
"BoJack Horseman","Season 6","A Quick One, While He's Away","1/9/20"
"BoJack Horseman","Season 6","A Horse Walks into a Rehab","1/9/20"
"BoJack Horseman","Season 5","The Stopped Show","1/9/20"
"BoJack Horseman","Season 3","It's You","1/8/20"
"BoJack Horseman","Season 3","That's Too Much, Man!","1/8/20"
"BoJack Horseman","Season 3","That Went Well","1/8/20"
"BoJack Horseman","Season 4","What Time Is It Right Now","1/8/20"
"BoJack Horseman","Season 4","See Mr. Peanutbutter Run","1/8/20"
"BoJack Horseman","Season 2","Out to Sea","1/7/20"
"BoJack Horseman","Season 2","Brand New Couch","1/7/20"
"BoJack Horseman","Season 1","Later","1/7/20"
"The End of the F***ing World","Season 1","Episode 2","1/7/20"
"Lost in Space","Season 2","Shipwrecked","1/7/20"
"Lost in Space","Season 1","Diamonds In The Sky","1/7/20"
"The Toys That Made Us","Season 3","Teenage Mutant Ninja Turtles","1/3/20"
"How I Met Your Mother","Season 1","Okay Awesome","1/3/20"
"The Walking Dead","Season 9","The Storm","12/26/19"
"The Walking Dead","Season 9","The Calm Before","12/26/19"
"The Walking Dead","Season 9","Scars","12/26/19"
"The Walking Dead","Season 9","Chokepoint","12/25/19"
"The Walking Dead","Season 9","Guardians","12/25/19"
"The Walking Dead","Season 9","Bounty","12/25/19"
"The Walking Dead","Season 9","Omega","12/25/19"
"The Walking Dead","Season 9","Adaptation","12/25/19"
"The Walking Dead","Season 9","Evolution","12/25/19"
"The Walking Dead","Season 9","Stradivarius","12/25/19"
"The Walking Dead","Season 9","Who Are You Now?","12/25/19"
"The Walking Dead","Season 9","What Comes After","12/25/19"
"The Walking Dead","Season 9","The Obliged","12/25/19"
"The Walking Dead","Season 9","Warning Signs","12/24/19"
"The Walking Dead","Season 9","The Bridge","12/24/19"
"The Walking Dead","Season 9","A New Beginning","12/24/19"
"The Walking Dead","Season 8","Wrath","12/24/19"
"Happy!","Season 1","I Am the Future","12/21/19"
"Happy!","Season 1","Destroyer of Worlds","12/21/19"
"Happy!","Season 1","The Scrapyard of Childish Things","12/21/19"
"Happy!","Season 1","White Sauce? Hot Sauce?","12/21/19"
"Happy!","Season 1","Year of the Horse","12/21/19"
"Happy!","Season 1","When Christmas Was Christmas","12/12/19"
"Happy!","Season 1","What Smiles Are For","12/12/19"
"Happy!","Season 1","Saint Nick","12/12/19"
"The Umbrella Academy","Season 1","The White Violin","3/24/19"
"The Umbrella Academy","Season 1","Changes","3/24/19"
"The Umbrella Academy","Season 1","I Heard a Rumor","3/24/19"
